DEBUG 2022-02-18 20:00:53,418 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40101.5}
DEBUG 2022-02-18 20:01:16,881 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40154.5}
DEBUG 2022-02-18 20:01:17,890 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40148.5}
DEBUG 2022-02-18 20:01:18,899 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40143.5}
DEBUG 2022-02-18 20:01:19,910 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40149.5}
DEBUG 2022-02-18 20:01:20,921 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40149.5}
DEBUG 2022-02-18 20:01:21,930 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40155.5}
DEBUG 2022-02-18 20:01:22,939 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40155.5}
DEBUG 2022-02-18 20:01:23,951 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40155.5}
DEBUG 2022-02-18 20:01:24,963 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40161.5}
DEBUG 2022-02-18 20:01:25,978 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40169.5}
DEBUG 2022-02-18 20:01:26,989 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40169.5}
DEBUG 2022-02-18 20:01:27,998 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40169.5}
DEBUG 2022-02-18 20:01:29,011 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40169.5}
DEBUG 2022-02-18 20:01:30,021 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40169.5}
DEBUG 2022-02-18 20:01:31,029 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40168.5}
DEBUG 2022-02-18 20:01:32,040 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40168.5}
DEBUG 2022-02-18 20:01:33,051 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40168.5}
DEBUG 2022-02-18 20:01:34,066 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40168.5}
DEBUG 2022-02-18 20:01:35,076 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40168.5}
DEBUG 2022-02-18 20:01:36,087 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40176.5}
DEBUG 2022-02-18 20:01:37,098 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40179.5}
DEBUG 2022-02-18 20:01:38,109 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40187.5}
DEBUG 2022-02-18 20:01:39,120 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40187.5}
DEBUG 2022-02-18 20:01:40,129 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40192.5}
DEBUG 2022-02-18 20:01:41,141 bot_handler 23065 140419770607360 symbol_prices: {'BTC/USDT': 40199.5}
DEBUG 2022-02-18 20:03:04,233 bot_handler 23166 140313590777600 symbol_prices: {'BTC/USDT': 40206.5}
DEBUG 2022-02-18 20:03:05,241 bot_handler 23166 140313590777600 symbol_prices: {'BTC/USDT': 40226.5}
DEBUG 2022-02-18 20:03:06,249 bot_handler 23166 140313590777600 symbol_prices: {'BTC/USDT': 40227.5}
DEBUG 2022-02-18 20:03:07,259 bot_handler 23166 140313590777600 symbol_prices: {'BTC/USDT': 40227.5}
DEBUG 2022-02-18 20:03:08,272 bot_handler 23166 140313590777600 symbol_prices: {'BTC/USDT': 40230.0}
DEBUG 2022-02-18 20:03:09,283 bot_handler 23166 140313590777600 symbol_prices: {'BTC/USDT': 40240.5}
DEBUG 2022-02-18 20:03:10,293 bot_handler 23166 140313590777600 symbol_prices: {'BTC/USDT': 40231.0}
DEBUG 2022-02-18 20:03:11,299 bot_handler 23166 140313590777600 symbol_prices: {'BTC/USDT': 40219.5}
DEBUG 2022-02-18 20:03:12,307 bot_handler 23166 140313590777600 symbol_prices: {'BTC/USDT': 40219.5}
DEBUG 2022-02-18 20:03:13,317 bot_handler 23166 140313590777600 symbol_prices: {'BTC/USDT': 40209.5}
DEBUG 2022-02-18 20:03:14,328 bot_handler 23166 140313590777600 symbol_prices: {'BTC/USDT': 40209.5}
DEBUG 2022-02-18 20:41:45,631 auto_trader 24754 140532296988416 rsi: 30, price: 40269.0
DEBUG 2022-02-18 20:42:03,652 auto_trader 24785 139801182172928 rsi: 30, price: 40252.0
DEBUG 2022-02-18 20:42:09,498 auto_trader 24785 139801182172928 rsi: 29, price: 40258.0
DEBUG 2022-02-18 20:42:15,730 auto_trader 24785 139801182172928 rsi: 28, price: 40256.0
DEBUG 2022-02-18 20:42:21,874 auto_trader 24785 139801182172928 rsi: 27, price: 40253.0
DEBUG 2022-02-18 20:42:28,632 auto_trader 24785 139801182172928 rsi: 26, price: 40238.0
DEBUG 2022-02-18 20:42:34,779 auto_trader 24785 139801182172928 rsi: 25, price: 40229.0
DEBUG 2022-02-18 20:42:40,713 auto_trader 24785 139801182172928 rsi: 24, price: 40208.0
DEBUG 2022-02-18 20:42:46,800 auto_trader 24785 139801182172928 rsi: 23, price: 40208.0
DEBUG 2022-02-18 20:42:53,724 auto_trader 24785 139801182172928 rsi: 22, price: 40199.0
DEBUG 2022-02-18 20:42:59,558 auto_trader 24785 139801182172928 rsi: 21, price: 40173.0
DEBUG 2022-02-18 20:43:05,502 auto_trader 24785 139801182172928 rsi: 20, price: 40192.0
DEBUG 2022-02-18 20:43:11,636 auto_trader 24785 139801182172928 rsi: 19, price: 40196.0
DEBUG 2022-02-18 20:43:18,611 auto_trader 24785 139801182172928 rsi: 18, price: 40194.0
DEBUG 2022-02-18 20:43:24,549 auto_trader 24785 139801182172928 rsi: 21, price: 40189.0
DEBUG 2022-02-18 20:43:30,616 auto_trader 24785 139801182172928 rsi: 22, price: 40177.0
DEBUG 2022-02-18 20:43:36,524 auto_trader 24785 139801182172928 rsi: 23, price: 40176.0
DEBUG 2022-02-18 20:43:42,492 auto_trader 24785 139801182172928 rsi: 24, price: 40198.0
DEBUG 2022-02-18 20:43:48,914 auto_trader 24785 139801182172928 rsi: 25, price: 40195.0
DEBUG 2022-02-18 20:43:54,858 auto_trader 24785 139801182172928 rsi: 26, price: 40195.0
DEBUG 2022-02-18 20:44:01,610 auto_trader 24785 139801182172928 rsi: 27, price: 40183.0
DEBUG 2022-02-18 20:44:07,960 auto_trader 24785 139801182172928 rsi: 28, price: 40151.0
DEBUG 2022-02-18 20:46:49,137 auto_trader 24922 139750503888640 rsi: 30, price: 40154.0
DEBUG 2022-02-18 20:46:55,085 auto_trader 24922 139750503888640 rsi: 29, price: 40148.0
DEBUG 2022-02-18 20:47:01,329 auto_trader 24959 139871177201408 rsi: 30, price: 40144.0
DEBUG 2022-02-18 20:47:07,374 auto_trader 24959 139871177201408 rsi: 29, price: 40174.0
DEBUG 2022-02-18 20:47:14,341 auto_trader 24959 139871177201408 rsi: 28, price: 40199.0
DEBUG 2022-02-18 20:47:20,682 auto_trader 24959 139871177201408 rsi: 27, price: 40234.0
DEBUG 2022-02-18 20:47:26,723 auto_trader 24959 139871177201408 rsi: 26, price: 40252.0
DEBUG 2022-02-18 20:47:32,766 auto_trader 24959 139871177201408 rsi: 25, price: 40280.0
DEBUG 2022-02-18 20:47:38,703 auto_trader 24959 139871177201408 rsi: 24, price: 40297.0
DEBUG 2022-02-18 20:47:44,643 auto_trader 24959 139871177201408 rsi: 23, price: 40336.0
DEBUG 2022-02-18 20:47:51,401 auto_trader 24959 139871177201408 rsi: 22, price: 40315.0
DEBUG 2022-02-18 20:47:57,759 auto_trader 24959 139871177201408 rsi: 21, price: 40301.0
DEBUG 2022-02-18 20:48:03,890 auto_trader 24959 139871177201408 rsi: 20, price: 40288.0
DEBUG 2022-02-18 20:48:10,859 auto_trader 24959 139871177201408 rsi: 19, price: 40317.0
DEBUG 2022-02-18 20:48:17,216 auto_trader 24959 139871177201408 rsi: 18, price: 40313.0
DEBUG 2022-02-18 20:48:23,151 auto_trader 24959 139871177201408 rsi: 21, price: 40278.0
DEBUG 2022-02-18 20:48:29,725 auto_trader 24959 139871177201408 rsi: 22, price: 40276.0
DEBUG 2022-02-18 20:52:04,949 auto_trader 25227 140160911861504 rsi: 30, price: 40213.0
DEBUG 2022-02-18 20:52:10,829 auto_trader 25227 140160911861504 rsi: 29, price: 40221.0
DEBUG 2022-02-18 20:52:16,867 auto_trader 25227 140160911861504 rsi: 28, price: 40211.0
DEBUG 2022-02-18 20:52:23,010 auto_trader 25227 140160911861504 rsi: 27, price: 40212.0
