DEBUG 2022-02-25 09:16:23,628 auto_trader 199834 139815424763648 rsi: 22, price: 38554.0, condition_is_normal: True
DEBUG 2022-02-25 09:16:34,668 auto_trader 199834 139815424763648 rsi: 21, price: 38555.0, condition_is_normal: True
DEBUG 2022-02-25 09:16:46,331 auto_trader 199834 139815424763648 rsi: 20, price: 38554.0, condition_is_normal: True
DEBUG 2022-02-25 09:31:06,805 auto_trader 200549 139640947037952 rsi: 22, price: 38428.0, condition_is_normal: True
DEBUG 2022-02-25 09:31:17,562 auto_trader 200549 139640947037952 rsi: 21, price: 38431.0, condition_is_normal: True
DEBUG 2022-02-25 09:31:29,096 auto_trader 200549 139640947037952 rsi: 20, price: 38429.0, condition_is_normal: True
DEBUG 2022-02-25 09:31:56,577 auto_trader 200634 140683801261824 rsi: 22, price: 38374.0, condition_is_normal: True
DEBUG 2022-02-25 09:32:07,738 auto_trader 200634 140683801261824 rsi: 21, price: 38381.0, condition_is_normal: True
DEBUG 2022-02-25 09:32:18,593 auto_trader 200634 140683801261824 rsi: 20, price: 38407.0, condition_is_normal: True
DEBUG 2022-02-25 09:32:29,555 auto_trader 200634 140683801261824 rsi: 19, price: 38406.0, condition_is_normal: False
DEBUG 2022-02-25 09:32:40,611 auto_trader 200634 140683801261824 rsi: 18, price: 38410.0, condition_is_normal: False
DEBUG 2022-02-25 09:32:51,670 auto_trader 200634 140683801261824 rsi: 21, price: 38415.0, condition_is_normal: False
DEBUG 2022-02-25 09:33:03,444 auto_trader 200634 140683801261824 rsi: 22, price: 38400.0, condition_is_normal: False
DEBUG 2022-02-25 09:33:15,430 auto_trader 200634 140683801261824 rsi: 23, price: 38400.0, condition_is_normal: False
DEBUG 2022-02-25 09:33:26,161 auto_trader 200634 140683801261824 rsi: 24, price: 38413.0, condition_is_normal: False
DEBUG 2022-02-25 09:33:37,783 auto_trader 200634 140683801261824 rsi: 25, price: 38413.0, condition_is_normal: False
DEBUG 2022-02-25 09:33:48,561 auto_trader 200634 140683801261824 rsi: 26, price: 38412.0, condition_is_normal: False
DEBUG 2022-02-25 09:34:00,284 auto_trader 200634 140683801261824 rsi: 27, price: 38413.0, condition_is_normal: False
DEBUG 2022-02-25 09:34:12,041 auto_trader 200634 140683801261824 rsi: 28, price: 38414.0, condition_is_normal: False
