INFO 2022-03-17 13:23:41,550 apps 303718 140635178264384 futures_trader app started!
INFO 2022-03-17 13:23:50,285 auto_trader 303718 140634397005568 56.6244277660062,40818.0
INFO 2022-03-17 13:24:02,575 auto_trader 303718 140634397005568 56.560858711744885,40813.0
INFO 2022-03-17 13:24:16,162 auto_trader 303718 140634397005568 56.50265961209867,40807.0
INFO 2022-03-17 13:24:28,922 auto_trader 303718 140634397005568 56.407746049740034,40800.0
INFO 2022-03-17 13:24:42,567 auto_trader 303718 140634397005568 56.40147798700839,40800.0
INFO 2022-03-17 13:24:56,438 auto_trader 303718 140634397005568 56.387150899956794,40789.0
INFO 2022-03-17 13:25:09,648 auto_trader 303718 140634397005568 56.244768929920646,40780.0
INFO 2022-03-17 13:25:30,601 auto_trader 303718 140634397005568 56.17849905303148,40745.0
INFO 2022-03-17 13:25:45,279 auto_trader 303718 140634397005568 55.86860842528801,40702.0
INFO 2022-03-17 13:25:59,335 auto_trader 303718 140634397005568 54.48505724317191,40694.0
INFO 2022-03-17 13:26:14,609 auto_trader 303718 140634397005568 54.32637894766483,40694.0
INFO 2022-03-17 13:26:31,461 auto_trader 303718 140634397005568 54.55049653573363,40718.0
INFO 2022-03-17 13:26:46,113 auto_trader 303718 140634397005568 54.5415323974493,40717.0
INFO 2022-03-17 13:26:58,400 auto_trader 303718 140634397005568 54.565735462721854,40729.0
INFO 2022-03-17 13:27:13,043 auto_trader 303718 140634397005568 54.75217719576222,40752.0
INFO 2022-03-17 13:27:35,469 auto_trader 303718 140634397005568 54.90185364915097,40777.0
INFO 2022-03-17 13:27:54,929 auto_trader 303718 140634397005568 55.08825865311438,40791.0
INFO 2022-03-17 13:28:22,566 auto_trader 303718 140634397005568 55.12410343410161,40787.0
INFO 2022-03-17 13:28:36,915 auto_trader 303718 140634397005568 55.24776214675172,40803.0
INFO 2022-03-17 13:28:53,289 auto_trader 303718 140634397005568 55.20833570460147,40791.0
INFO 2022-03-17 13:29:06,783 auto_trader 303718 140634397005568 55.17070052332496,40791.0
INFO 2022-03-17 13:29:23,817 auto_trader 303718 140634397005568 55.21640027827166,40794.0
INFO 2022-03-17 13:29:51,062 auto_trader 303718 140634397005568 55.16353182322012,40799.0
INFO 2022-03-17 13:30:05,587 auto_trader 303718 140634397005568 55.48821817282866,40808.0
INFO 2022-03-17 13:30:24,067 auto_trader 303718 140634397005568 51.19498607495824,40664.0
INFO 2022-03-17 13:30:40,947 auto_trader 303718 140634397005568 47.02270109205435,40669.0
INFO 2022-03-17 13:31:01,061 auto_trader 303718 140634397005568 46.56497620899471,40661.0
INFO 2022-03-17 13:31:17,815 auto_trader 303718 140634397005568 46.526593266315466,40655.0
INFO 2022-03-17 13:31:32,055 auto_trader 303718 140634397005568 46.08840908989716,40650.0
INFO 2022-03-17 13:31:45,842 auto_trader 303718 140634397005568 46.232609457327165,40651.0
INFO 2022-03-17 13:32:03,041 auto_trader 303718 140634397005568 46.028478329445925,40657.0
INFO 2022-03-17 13:32:17,823 auto_trader 303718 140634397005568 46.203583022037094,40696.0
INFO 2022-03-17 13:32:32,750 auto_trader 303718 140634397005568 46.25320858432756,40676.0
INFO 2022-03-17 13:32:47,275 auto_trader 303718 140634397005568 46.3833522653897,40687.0
