INFO 2022-04-01 16:19:14,911 apps 16330 140546713700160 futures_trader app started!
INFO 2022-04-01 16:19:18,709 auto_trader 16330 140545557001984 MANA/USDT -81.42459513378404 -86.32481209174259
INFO 2022-04-01 16:19:19,016 auto_trader 16330 140545938683648 LINK/USDT -66.56223903941837 -69.48868313326004
INFO 2022-04-01 16:19:19,027 auto_trader 16330 140545540216576 1INCH/USDT -75.01607303587492 -73.9101415674288
INFO 2022-04-01 16:19:19,294 auto_trader 16330 140545905112832 MATIC/USDT -51.76197656884323 -55.892168012080674
INFO 2022-04-01 16:19:19,537 auto_trader 16330 140545548609280 TRX/USDT -87.3371318446523 -86.312992667396
INFO 2022-04-01 16:19:19,543 auto_trader 16330 140545955469056 ROSE/USDT -91.03915539768224 -100.08812401983194
INFO 2022-04-01 16:19:19,546 auto_trader 16330 140545921898240 UNI/USDT -65.65250591425558 -69.51320541874342
INFO 2022-04-01 16:19:19,554 auto_trader 16330 140545557001984 MANA/USDT -81.42459513378404 -86.32481209174259
INFO 2022-04-01 16:19:19,867 auto_trader 16330 140545938683648 LINK/USDT -66.56223903941837 -69.48868313326004
INFO 2022-04-01 16:19:19,944 auto_trader 16330 140545905112832 MATIC/USDT -51.76197656884323 -55.892168012080674
INFO 2022-04-01 16:19:20,056 auto_trader 16330 140545540216576 1INCH/USDT -75.01607303587492 -73.9101415674288
INFO 2022-04-01 16:19:20,212 auto_trader 16330 140545548609280 TRX/USDT -87.3371318446523 -86.312992667396
INFO 2022-04-01 16:19:20,223 auto_trader 16330 140545921898240 UNI/USDT -65.65250591425558 -69.51320541874342
INFO 2022-04-01 16:19:20,282 auto_trader 16330 140545913505536 FTM/USDT 136.80656425544385 162.45594443155338
INFO 2022-04-01 16:19:20,300 auto_trader 16330 140545955469056 ROSE/USDT -91.03915539768224 -100.08812401983194
INFO 2022-04-01 16:19:20,846 auto_trader 16330 140545913505536 FTM/USDT 136.80656425544385 162.45594443155338
INFO 2022-04-01 16:19:21,398 auto_trader 16330 140545930290944 new signal data was consumed
INFO 2022-04-01 16:19:30,015 auto_trader 16330 140545557001984 MANA/USDT -81.42459513378404 -86.32481209174259
INFO 2022-04-01 16:19:30,330 auto_trader 16330 140545938683648 LINK/USDT -66.56223903941837 -69.48868313326004
INFO 2022-04-01 16:19:30,679 auto_trader 16330 140545540216576 1INCH/USDT -75.01607303587492 -73.9101415674288
INFO 2022-04-01 16:19:30,752 auto_trader 16330 140545548609280 TRX/USDT -87.3371318446523 -86.312992667396
INFO 2022-04-01 16:19:31,373 auto_trader 16330 140545913505536 FTM/USDT 136.80656425544385 162.45594443155338
INFO 2022-04-01 16:19:31,907 auto_trader 16330 140545955469056 ROSE/USDT -91.03915539768224 -100.08812401983194
INFO 2022-04-01 16:19:36,178 auto_trader 16330 140545921898240 UNI/USDT -65.65250591425558 -69.51320541874342
INFO 2022-04-01 16:19:36,401 auto_trader 16330 140545905112832 MATIC/USDT -51.76197656884323 -55.892168012080674
INFO 2022-04-01 16:19:40,425 auto_trader 16330 140545557001984 MANA/USDT -81.42459513378404 -86.32481209174259
INFO 2022-04-01 16:19:41,099 auto_trader 16330 140545540216576 1INCH/USDT -75.01607303587492 -73.9101415674288
INFO 2022-04-01 16:19:41,455 auto_trader 16330 140545548609280 TRX/USDT -87.3371318446523 -86.312992667396
INFO 2022-04-01 16:19:41,809 auto_trader 16330 140545913505536 FTM/USDT 136.80656425544385 162.45594443155338
INFO 2022-04-01 16:19:42,335 auto_trader 16330 140545955469056 ROSE/USDT -91.03915539768224 -100.08812401983194
INFO 2022-04-01 16:19:46,227 auto_trader 16330 140545938683648 LINK/USDT -66.56223903941837 -69.48868313326004
INFO 2022-04-01 16:19:46,615 auto_trader 16330 140545921898240 UNI/USDT -65.65250591425558 -69.51320541874342
INFO 2022-04-01 16:19:47,036 auto_trader 16330 140545905112832 MATIC/USDT -51.76197656884323 -55.892168012080674
INFO 2022-04-01 16:19:51,065 auto_trader 16330 140545557001984 MANA/USDT -81.42459513378404 -86.32481209174259
INFO 2022-04-01 16:19:51,538 auto_trader 16330 140545540216576 1INCH/USDT -75.01607303587492 -73.9101415674288
INFO 2022-04-01 16:19:51,916 auto_trader 16330 140545548609280 TRX/USDT -87.3371318446523 -86.312992667396
INFO 2022-04-01 16:19:52,227 auto_trader 16330 140545913505536 FTM/USDT 136.80656425544385 162.45594443155338
INFO 2022-04-01 16:19:52,998 auto_trader 16330 140545955469056 ROSE/USDT -91.03915539768224 -100.08812401983194
INFO 2022-04-01 16:19:56,836 auto_trader 16330 140545938683648 LINK/USDT -66.56223903941837 -69.48868313326004
INFO 2022-04-01 16:19:57,090 auto_trader 16330 140545921898240 UNI/USDT -65.65250591425558 -69.51320541874342
INFO 2022-04-01 16:19:57,609 auto_trader 16330 140545905112832 MATIC/USDT -51.76197656884323 -55.892168012080674
INFO 2022-04-01 16:20:01,532 auto_trader 16330 140545557001984 MANA/USDT -81.42459513378404 -86.32481209174259
INFO 2022-04-01 16:20:02,075 auto_trader 16330 140545540216576 1INCH/USDT -75.01607303587492 -73.9101415674288
INFO 2022-04-01 16:20:02,349 auto_trader 16330 140545548609280 TRX/USDT -87.3371318446523 -86.312992667396
INFO 2022-04-01 16:20:02,722 auto_trader 16330 140545913505536 FTM/USDT 136.80656425544385 162.45594443155338
INFO 2022-04-01 16:20:03,472 auto_trader 16330 140545955469056 ROSE/USDT -91.03915539768224 -100.08812401983194
INFO 2022-04-01 16:20:07,312 auto_trader 16330 140545938683648 LINK/USDT -66.56223903941837 -69.48868313326004
INFO 2022-04-01 16:20:07,615 auto_trader 16330 140545921898240 UNI/USDT -65.65250591425558 -69.51320541874342
INFO 2022-04-01 16:20:08,233 auto_trader 16330 140545905112832 MATIC/USDT -51.76197656884323 -55.892168012080674
INFO 2022-04-01 16:20:12,575 auto_trader 16330 140545540216576 1INCH/USDT -75.01607303587492 -73.9101415674288
INFO 2022-04-01 16:20:12,860 auto_trader 16330 140545557001984 MANA/USDT -81.42459513378404 -86.32481209174259
INFO 2022-04-01 16:20:13,201 auto_trader 16330 140545913505536 FTM/USDT 136.80656425544385 162.45594443155338
INFO 2022-04-01 16:20:13,993 auto_trader 16330 140545955469056 ROSE/USDT -91.03915539768224 -100.08812401983194
