DEBUG 2022-07-27 20:11:54,486 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.06629499999999999}
DEBUG 2022-07-27 20:11:58,407 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.17500000000001}
DEBUG 2022-07-27 20:12:05,456 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.385}
DEBUG 2022-07-27 20:12:12,438 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:16,254 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.06629499999999999}
DEBUG 2022-07-27 20:12:16,260 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.17500000000001}
DEBUG 2022-07-27 20:12:16,263 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.385}
DEBUG 2022-07-27 20:12:16,266 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:17,308 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.06629499999999999}
DEBUG 2022-07-27 20:12:17,315 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.17500000000001}
DEBUG 2022-07-27 20:12:17,318 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.385}
DEBUG 2022-07-27 20:12:17,323 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:18,371 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:18,377 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:18,381 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
DEBUG 2022-07-27 20:12:18,385 bot_handler 112629 139806956828416 symbol_prices: {'DASH/USDT': 44.394999999999996}
DEBUG 2022-07-27 20:12:19,452 bot_handler 112629 139806956828416 symbol_prices: {'ONE/USDT': 0.020185}
DEBUG 2022-07-27 20:12:19,458 bot_handler 112629 139806956828416 symbol_prices: {'TRX/USDT': 0.066305}
DEBUG 2022-07-27 20:12:19,461 bot_handler 112629 139806956828416 symbol_prices: {'BCH/USDT': 118.225}
