WARNING 2022-07-28 16:02:06,563 retry_on_timeout 53872 139802963101440 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:10,156 retry_on_timeout 53872 139802317940480 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:10,159 retry_on_timeout 53872 139800111740672 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:10,218 retry_on_timeout 53872 139801160304384 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:10,365 retry_on_timeout 53872 139802301155072 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:10,368 retry_on_timeout 53872 139803005048576 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:10,511 retry_on_timeout 53872 139800094955264 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:10,539 retry_on_timeout 53872 139800631826176 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:10,549 retry_on_timeout 53872 139801697175296 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:10,650 retry_on_timeout 53872 139800086562560 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:10,651 retry_on_timeout 53872 139801705568000 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:10,744 retry_on_timeout 53872 139802284369664 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:10,804 retry_on_timeout 53872 139802275976960 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:10,844 retry_on_timeout 53872 139799549691648 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:15,348 retry_on_timeout 53872 139801722353408 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:15,849 retry_on_timeout 53872 139799541298944 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:16,703 retry_on_timeout 53872 139801671997184 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:20,641 retry_on_timeout 53872 139800111740672 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:20,642 retry_on_timeout 53872 139802275976960 retry on timeout: fetch_ohlcv!
WARNING 2022-07-28 16:02:20,644 retry_on_timeout 53872 139801697175296 retry on timeout: fetch_ohlcv!
